Country,Year,Value
Antigua and Barbuda,1971,6.412192107
Antigua and Barbuda,1970,7.068212761
Antigua and Barbuda,1969,19.55900602
Antigua and Barbuda,1968,15.67193238
Antigua and Barbuda,1967,9.10806103
Antigua and Barbuda,1966,5.727991713
Antigua and Barbuda,1965,2.520359412
Antigua and Barbuda,1964,1.567094017
Antigua and Barbuda,1963,1.47017501
Antigua and Barbuda,1962,1.823373764
Antigua and Barbuda,1961,0.86044077
Antigua and Barbuda,1960,0.67061685
Arab World,2011,4.724499697
Arab World,2010,4.76491188
Arab World,2009,4.57525129
Arab World,2008,4.373573347
Arab World,2007,4.181153482
Arab World,2006,4.285594793
Arab World,2005,4.206788911
Arab World,2004,4.094268842
Arab World,2003,3.797799574
Arab World,2002,3.57992169
Arab World,2001,3.583432943
Arab World,2000,3.717402796
Arab World,1999,3.339700902
Arab World,1998,3.360498166
Arab World,1997,3.168027469
Arab World,1996,3.364402265
Arab World,1995,3.473291381
Arab World,1994,3.73503093
Arab World,1993,3.715328243
Arab World,1992,3.483917152
Arab World,1991,3.28409368
Arab World,1990,3.203907205
Arab World,1989,3.268320952
Arab World,1988,3.304338713
Arab World,1987,3.205226529
Arab World,1986,3.290717726
Arab World,1985,3.066959239
Arab World,1984,2.98526953
Arab World,1983,2.818112758
Arab World,1982,2.723330732
Arab World,1981,2.929411609
Arab World,1980,3.091551621
Arab World,1979,2.862687056
Arab World,1978,2.762455988
Arab World,1977,2.650224937
Arab World,1976,2.586910238
Arab World,1975,2.199429464
Arab World,1974,2.288503495
Arab World,1973,2.411528707
Arab World,1972,2.121494521
Arab World,1971,2.002951467
Arab World,1970,1.808270673
Arab World,1969,1.79544563
Arab World,1968,1.548403564
Arab World,1967,1.333305364
Arab World,1966,1.273617599
Arab World,1965,1.166075188
Arab World,1964,0.999248141
Arab World,1963,0.875124288
Arab World,1962,0.761148199
Arab World,1961,0.685500882
Arab World,1960,0.643963548
Argentina,2011,4.562048512
Argentina,2010,4.342272052
Argentina,2009,4.427960113
Argentina,2008,4.744178401
Argentina,2007,4.496833655
Argentina,2006,4.404525042
Argentina,2005,4.111634824
Argentina,2004,4.032407013
Argentina,2003,3.47503504
Argentina,2002,3.253312671
Argentina,2001,3.539532688
Argentina,2000,3.806975725
Argentina,1999,3.969875863
